Date,Australian dollar   (AUD),Bahrain dinar   (BHD),Canadian dollar   (CAD),Chinese yuan   (CNY),Euro   (EUR),Indian rupee   (INR),Japanese yen   (JPY),Kuwaiti dinar   (KWD),Malaysian ringgit   (MYR),Mexican peso   (MXN),Pakistani rupee   (PKR),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Sri Lankan rupee   (LKR),Swiss franc   (CHF),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD)
5-Jan-15,1.240540876,0.376,1.1787,6.1248,0.839278221,63.3888,120.29,0.2936,3.5398,14.9469,100.911,3.64,61.19606612,3.75,135.8808932,1.0094,3.6725,0.655565753,1
6-Jan-15,1.23061777,0.376,1.1804,6.1256,0.839348665,63.385,119.3,0.2936,3.555,14.8479,100.9326,3.64,61.19606612,3.75,131.02,1.0101,3.6725,0.658197854,1
7-Jan-15,1.238543473,0.376,1.1851,6.1269,0.845237089,63.4495,118.95,0.2937,3.572,14.7936,100.8238,3.64,61.19606612,3.75,131.015,1.016,3.6725,0.661331922,1
8-Jan-15,1.233349778,0.376,1.1812,6.1302,0.849762067,62.967,119.43,0.29395,3.568,14.6274,100.7977,3.64,61.19606612,3.75,131.25,1.0205,3.6725,0.663922454,1
9-Jan-15,1.228803146,0.376,1.1857,6.1296,0.846525015,62.3953,119.85,0.29395,3.555,14.5804,100.8185,3.64,61.19606612,3.75,131.25,1.0166,3.6725,0.660066007,1
12-Jan-15,1.213003396,0.376,1.193,6.1233,0.847170451,62.1605,119.85,0.29385,3.5505,14.6398,100.7911,3.64,62.7363,3.75,131.245,1.0175,3.6725,0.660501982,1
13-Jan-15,1.223690651,0.376,1.1948,6.1195,0.848752334,62.1021,117.95,0.29385,3.5755,14.5559,100.6339,3.64,64.8425,3.75,131.22,1.0185,3.6725,0.66041474,1
14-Jan-15,1.234720336,0.376,1.1958,6.1205,0.8492569,62.153,117.5,0.29395,3.594,14.5644,100.6436,3.64,66.0983,3.75,131.22,1.0221,3.6725,0.65824118,1
15-Jan-15,1.218917601,0.376,1.1932,6.1193,0.854116843,61.7588,117.7,0.29395,3.5715,14.5821,100.7758,3.64,64.8337,3.75,131.22,0.8756,3.6725,0.656383328,1
16-Jan-15,1.213886866,0.376,1.1986,6.1188,0.862961685,61.8933,116.41,0.29395,3.57,14.6223,100.8052,3.64,65.1738,3.75,131.0889,0.8753,3.6725,0.657764915,1
20-Jan-15,1.22324159,0.376,1.2085,6.1226,0.863632438,61.8475,117.88,0.29395,3.5985,14.6484,100.793,3.64,64.9862,3.75,131.7054,0.8724,3.6725,0.660371129,1
21-Jan-15,1.217730151,0.376,1.2374,6.1268,0.862589494,61.614,117.8,0.29395,3.6225,14.6983,100.7572,3.64,65.5558,3.75,131.7433,0.866,3.6725,0.661550675,1
22-Jan-15,1.239003841,0.376,1.2371,6.1247,0.860733345,61.691,118.12,0.29395,3.6115,14.612,100.7619,3.64,65.4,3.75,131.9,0.8549,3.6725,0.658804928,1
23-Jan-15,1.252034556,0.376,1.2403,6.1342,0.89301661,61.4988,118.5,0.29395,3.595,14.6499,100.7921,3.64,63.393,3.75,131.85,0.8739,3.6725,0.667913438,1
26-Jan-15,1.252034556,0.376,1.2411,6.1384,0.889363216,61.4988,117.5,0.29495,3.607,14.5887,101.0061,3.64,65.5937,3.75,131.85,0.8906,3.6725,0.666045025,1
27-Jan-15,1.259287243,0.376,1.2404,6.1364,0.884486114,61.464,118.6,0.29495,3.61,14.5872,100.9613,3.64,67.8153,3.75,132.0817,0.9021,3.6725,0.663129973,1
28-Jan-15,1.251407834,0.376,1.2451,6.1282,0.881523272,61.4105,117.8,0.29495,3.624,14.6878,100.9162,3.64,67.1506,3.75,132.0975,0.9017,3.6725,0.658111221,1
29-Jan-15,1.270809506,0.376,1.2644,6.1335,0.883782589,61.4998,117.74,0.29495,3.634,14.8414,100.9901,3.64,68.7303,3.75,132.194,0.9161,3.6725,0.660938533,1
30-Jan-15,1.285181853,0.376,1.2717,6.137,0.884564352,61.7575,118.22,0.29495,3.6235,14.9885,101.2007,3.64,68.9291,3.75,132.2,0.9237,3.6725,0.663042037,1
2-Feb-15,1.287166946,0.376,1.2578,6.1385,0.884173298,61.884,117.44,0.29495,3.6235,14.9885,101.1373,3.64,69.664,3.75,132.2,0.9313,3.6725,0.665557404,1
3-Feb-15,1.30565348,0.376,1.2456,6.1369,0.879043601,61.7389,117.22,0.29485,3.6235,14.7566,101.3502,3.64,67.7727,3.75,132.2,0.9277,3.6725,0.664010624,1
4-Feb-15,1.278772379,0.376,1.255,6.1318,0.873667657,61.68,117.82,0.29475,3.558,14.8011,101.2113,3.64,65.447,3.75,132.2,0.9269,3.6725,0.657678395,1
5-Feb-15,1.287166946,0.376,1.2422,6.1366,0.876424189,61.8748,117.29,0.295,3.573,14.7548,101.2113,3.64,68.6113,3.75,132.2,0.9279,3.6725,0.655952771,1
6-Feb-15,1.277139208,0.376,1.2523,6.1261,0.873591334,61.7363,117.48,0.295,3.5525,14.9024,101.2074,3.64,66.0432,3.75,132.2,0.9217,3.6725,0.652230629,1
9-Feb-15,1.288493751,0.376,1.2448,6.1311,0.88691796,62.141,118.9,0.29535,3.56,14.8014,101.2489,3.64,65.7817,3.75,132.8,0.9262,3.6725,0.656987057,1
10-Feb-15,1.277791975,0.376,1.2528,6.1295,0.885190759,61.9634,118.5,0.29535,3.5815,14.9309,101.2659,3.64,65.4469,3.75,132.8,0.9253,3.6725,0.657289339,1
11-Feb-15,1.287166946,0.376,1.2635,6.1315,0.883860704,62.1536,118.5,0.2955,3.597,15.1099,101.4883,3.64,66.0585,3.75,132.7987,0.9267,3.6725,0.653936699,1
12-Feb-15,1.307531381,0.376,1.2462,6.1333,0.882768362,62.43,120.28,0.29565,3.6215,14.9167,101.4264,3.64,66.0994,3.75,132.8,0.9312,3.6725,0.651975486,1
13-Feb-15,1.2848516,0.376,1.2449,6.1288,0.878657411,62.136,118.99,0.29565,3.5815,14.8605,101.4506,3.64,65.0862,3.75,132.8,0.9287,3.6725,0.649941505,1
17-Feb-15,1.2848516,0.376,1.2449,6.1288,0.876040298,62.136,118.34,0.29565,3.5815,14.8605,101.4506,3.64,65.0862,3.75,132.8,0.9287,3.6725,0.64977258,1
18-Feb-15,1.277628721,0.376,1.2455,6.1288,0.879352796,62.245,119.25,0.29545,3.594,14.9473,101.562,3.64,62.4001,3.75,132.8,0.9399,3.6725,0.648424329,1
19-Feb-15,1.283038235,0.376,1.2486,6.1288,0.878194432,62.245,118.75,0.29545,3.594,14.9583,101.5924,3.64,62.1307,3.75,132.8,0.9475,3.6725,0.64699793,1
20-Feb-15,1.280409731,0.376,1.2506,6.1288,0.885112409,62.255,118.89,0.29545,3.594,15.0757,101.8001,3.64,61.7235,3.75,132.9,0.9512,3.6725,0.650702759,1
23-Feb-15,1.276487107,0.376,1.258,6.1288,0.885112409,62.1838,119.07,0.29555,3.641,15.0832,101.7419,3.64,61.7235,3.75,132.9,0.9493,3.6725,0.650999284,1
24-Feb-15,1.286504567,0.376,1.2603,6.133,0.882768362,62.2758,118.91,0.29575,3.627,14.9712,101.7617,3.64,63.5083,3.75,132.9,0.9494,3.6725,0.647374895,1
25-Feb-15,1.268069997,0.376,1.2419,6.1384,0.881367883,62.0468,118.8,0.29575,3.6245,14.9228,101.9203,3.64,62.5906,3.75,132.8991,0.9496,3.6725,0.645244548,1
26-Feb-15,1.272750414,0.376,1.249,6.1379,0.883626403,61.9395,118.95,0.29575,3.598,14.9624,101.9321,3.64,60.7109,3.75,132.9,0.9466,3.6725,0.644537544,1
27-Feb-15,1.283367556,0.376,1.2508,6.1475,0.889679715,61.7908,119.26,0.29575,3.6113,14.9553,101.8895,3.64,61.2718,3.75,132.9,0.9488,3.6725,0.648130145,1
2-Mar-15,1.287332647,0.376,1.2535,6.1513,0.890709896,61.8248,119.86,0.2965,3.627,14.9862,101.9211,3.64,62.2248,3.75,132.9,0.9561,3.6725,0.649182031,1
3-Mar-15,1.277791975,0.376,1.2452,6.1543,0.895415473,61.8387,119.77,0.2965,3.6275,14.9544,101.9097,3.64,62.3649,3.75,132.9,0.9606,3.6725,0.650787453,1
4-Mar-15,1.280081925,0.376,1.244,6.1525,0.89895721,61.8543,119.57,0.2966,3.6285,15.0756,101.9215,3.64,61.8745,3.75,132.8986,0.9623,3.6725,0.651847989,1
5-Mar-15,1.278772379,0.376,1.2482,6.1525,0.903423977,62.2015,119.8,0.2971,3.6565,15.1686,101.8517,3.64,61.8457,3.75,132.8986,0.969,3.6725,0.655995802,1
6-Mar-15,1.281229981,0.376,1.2616,6.1533,0.912159081,62.2015,120.05,0.2971,3.6475,15.4445,101.8238,3.64,59.9938,3.75,132.9,0.9779,3.6725,0.658935161,1
9-Mar-15,1.299714063,0.376,1.2598,6.1563,0.920810313,62.616,121.03,0.2983,3.688,15.4544,101.8143,3.64,59.9938,3.75,132.9,0.9843,3.6725,0.662120109,1
10-Mar-15,1.307873398,0.376,1.2633,6.1572,0.931272118,62.6983,121.46,0.2986,3.6965,15.5837,101.6973,3.64,60.6649,3.75,132.9,0.9944,3.6725,0.664761018,1
11-Mar-15,1.315097317,0.376,1.2764,6.1597,0.945358291,62.745,121.22,0.29908,3.714,15.4455,101.7629,3.64,62.6797,3.75,132.9,1.006,3.6725,0.664319405,1
12-Mar-15,1.315097317,0.376,1.2691,6.1617,0.942240648,62.5665,121.62,0.29985,3.696,15.4003,101.7386,3.64,60.9595,3.75,132.9,1.001,3.6725,0.66728947,1
13-Mar-15,1.303611002,0.376,1.2803,6.1588,0.945894816,62.6733,121.43,0.29985,3.6965,15.4892,101.7296,3.64,61.3167,3.75,132.9,1.0076,3.6725,0.67558438,1
16-Mar-15,1.308557969,0.376,1.2765,6.1615,0.947238799,62.8215,121.4,0.3,3.7075,15.4892,101.7457,3.64,62.1497,3.75,132.9,1.0049,3.6725,0.676315434,1
17-Mar-15,1.309757695,0.376,1.2769,6.1585,0.94029149,62.692,121.4,0.2999,3.6995,15.4271,101.7143,3.64,61.751,3.75,132.9,1.0028,3.6725,0.677966102,1
18-Mar-15,1.312163758,0.376,1.2771,6.1556,0.944108761,62.672,121.33,0.2999,3.7,15.4192,101.7901,3.64,61.3483,3.75,132.9,1.0028,3.6725,0.683293475,1
19-Mar-15,1.293326436,0.376,1.2744,6.146,0.936592676,62.4208,120.5,0.29955,3.68,15.296,101.9043,3.64,59.8308,3.75,132.9,0.9893,3.6725,0.67136623,1
20-Mar-15,1.302422506,0.376,1.2595,6.1496,0.927988122,62.4923,120.72,0.29955,3.7225,15.0317,102.1179,3.64,60.0341,3.75,132.9,0.9862,3.6725,0.676773146,1
23-Mar-15,1.27844541,0.376,1.2516,6.1448,0.916422287,62.2879,119.96,0.29945,3.6883,14.9644,102.1179,3.64,59.4452,3.75,132.9,0.9724,3.6725,0.670690812,1
24-Mar-15,1.272102786,0.376,1.2511,6.1398,0.913242009,62.1988,119.76,0.2993,3.6745,14.9347,102.0708,3.64,58.771,3.75,132.9,0.9571,3.6725,0.670645832,1
25-Mar-15,1.270163851,0.376,1.2513,6.141,0.910332271,62.3419,119.78,0.2993,3.6575,14.9524,101.9563,3.64,57.3879,3.75,132.9,0.957,3.6725,0.670465974,1
26-Mar-15,1.279263144,0.376,1.2471,6.1375,0.911327805,62.6728,119.3,0.2992,3.679,15.1056,102.0261,3.64,56.4271,3.75,132.9,0.954,3.6725,0.66983723,1
27-Mar-15,1.281394157,0.376,1.258,6.1397,0.921149595,62.6069,119.2,0.2992,3.6675,15.1542,101.9551,3.64,57.7279,3.75,132.9,0.9655,3.6725,0.6709158,1
