Date,Australian dollar   (AUD),Canadian dollar   (CAD),Chinese yuan   (CNY),Euro   (EUR),Indian rupee   (INR),Japanese yen   (JPY),Malaysian ringgit   (MYR),Qatari riyal   (QAR),Russian ruble   (RUB),Saudi Arabian riyal   (SAR),Swiss franc   (CHF),U.A.E. dirham   (AED),U.K. pound   (GBP),U.S. dollar   (USD)
4-Jan-21,1.298195508,1.2751,6.4682,0.813272609,73.0115,103.08,4.008,3.64,73.67611899,3.75,0.87985,3.6725,0.731528895,1
5-Jan-21,1.298532658,1.2707,6.4626,0.814929509,73.1086,103.14,4.0115,3.64,73.67611899,3.75,0.8796,3.6725,0.735753964,1
6-Jan-21,1.287664177,1.2685,6.4548,0.810504134,73.139,102.8,4.0105,3.64,73.67611899,3.75,0.87635,3.6725,0.732681247,1
7-Jan-21,1.282873637,1.2707,6.4576,0.814597589,73.133,102.99,4.022,3.64,73.67611899,3.75,0.8837,3.6725,0.73716413,1
8-Jan-21,1.287166946,1.2705,6.4674,0.816326531,73.3344,103.83,4.032,3.64,73.67611899,3.75,0.8842,3.6725,0.735781032,1
11-Jan-21,1.299207483,1.2788,6.4784,0.822165584,73.4511,103.83,4.0415,3.64,74.5157,3.75,0.8901,3.6725,0.741482223,1
12-Jan-21,1.300221038,1.2746,6.4615,0.822300798,73.3725,104.21,4.0635,3.64,74.2663,3.75,0.8898,3.6725,0.7359164,1
13-Jan-21,1.288161793,1.271,6.461,0.821962847,73.1546,103.67,4.045,3.64,73.5264,3.75,0.88885,3.6725,0.731448634,1
14-Jan-21,1.290156109,1.2654,6.4652,0.824810294,73.1226,103.94,4.04,3.64,73.7961,3.75,0.88955,3.6725,0.732681247,1
15-Jan-21,1.287664177,1.2727,6.4691,0.82487833,73.0243,103.83,4.037,3.64,73.5453,3.75,0.88755,3.6725,0.733164705,1
19-Jan-21,1.295672454,1.2735,6.4905,0.824266403,73.1803,104.0,4.05,3.64,73.7243,3.75,0.88795,3.6725,0.734564954,1
20-Jan-21,1.295001295,1.2656,6.4655,0.826377985,73.1251,103.92,4.045,3.64,73.355,3.75,0.8897,3.6725,0.731181223,1
21-Jan-21,1.286835671,1.2627,6.4631,0.822503701,72.9735,103.53,4.03,3.64,73.3694,3.75,0.8865,3.6725,0.728969237,1
22-Jan-21,1.290988897,1.2716,6.475,0.822503701,73.038,103.58,4.0415,3.64,74.3615,3.75,0.8848,3.6725,0.731609174,1
25-Jan-21,1.292323598,1.2738,6.475,0.822909809,72.9297,103.82,4.046,3.64,74.8569,3.75,0.88625,3.6725,0.73046019,1
26-Jan-21,1.292323598,1.2702,6.4772,0.823519723,72.9297,103.75,4.0445,3.64,75.6354,3.75,0.88865,3.6725,0.731395136,1
27-Jan-21,1.292657704,1.2775,6.4654,0.825491167,72.8176,103.68,4.044,3.64,75.04,3.75,0.88835,3.6725,0.729075532,1
28-Jan-21,1.310959622,1.281,6.4835,0.827061451,73.0674,104.28,4.044,3.64,76.1854,3.75,0.89045,3.6725,0.732869183,1
29-Jan-21,1.308044474,1.278,6.4614,0.823994726,72.9519,104.48,4.054,3.64,76.2527,3.75,0.88895,3.6725,0.728969237,1
1-Feb-21,1.306847883,1.2824,6.4604,0.827540549,73.0189,104.68,4.054,3.64,75.5053,3.75,0.8952,3.6725,0.729421204,1
2-Feb-21,1.311819494,1.2818,6.4604,0.830288941,72.9805,104.9,4.0425,3.64,75.9051,3.75,0.89815,3.6725,0.731395136,1
3-Feb-21,1.313542624,1.2783,6.4584,0.832154448,72.9396,105.02,4.0475,3.64,76.0801,3.75,0.8989,3.6725,0.733648802,1
4-Feb-21,1.311647429,1.2828,6.4599,0.833611204,72.9152,105.02,4.0525,3.64,75.7293,3.75,0.90225,3.6725,0.735104936,1
5-Feb-21,1.317002502,1.2777,6.4758,0.834515564,72.8986,105.54,4.0745,3.64,75.1107,3.75,0.90345,3.6725,0.730540235,1
8-Feb-21,1.303271211,1.2753,6.4573,0.831600832,72.8623,105.51,4.0615,3.64,74.2602,3.75,0.90065,3.6725,0.730833881,1
9-Feb-21,1.294163323,1.2719,6.4492,0.826173166,72.8883,104.92,4.0575,3.64,74.1192,3.75,0.89345,3.6725,0.725873771,1
10-Feb-21,1.291989664,1.2689,6.4377,0.824606251,72.8458,104.61,4.04,3.64,73.8526,3.75,0.89095,3.6725,0.722804481,1
11-Feb-21,1.292824822,1.2686,6.4377,0.823248539,72.7772,104.61,4.0445,3.64,73.7579,3.75,0.89025,3.6725,0.723274989,1
12-Feb-21,1.291155584,1.2711,6.4377,0.825900231,72.7998,104.85,4.0445,3.64,73.9378,3.75,0.89265,3.6725,0.725531452,1
16-Feb-21,1.282709082,1.2684,6.4377,0.823519723,72.7219,105.47,4.0305,3.64,73.2895,3.75,0.88775,3.6725,0.71810707,1
17-Feb-21,1.289823294,1.2712,6.4377,0.829187396,72.8359,106.15,4.0385,3.64,73.7669,3.75,0.89545,3.6725,0.721448669,1
18-Feb-21,1.289656951,1.2696,6.4666,0.827540549,72.7327,105.72,4.038,3.64,73.7755,3.75,0.89705,3.6725,0.717205766,1
19-Feb-21,1.287001287,1.2614,6.4618,0.823791087,72.7327,105.71,4.0435,3.64,73.9717,3.75,0.8942,3.6725,0.714336738,1
22-Feb-21,1.269680041,1.2613,6.4683,0.824198467,72.3664,105.48,4.0405,3.64,73.9717,3.75,0.89815,3.6725,0.713165026,1
23-Feb-21,1.262148176,1.2603,6.4611,0.823519723,72.3707,105.48,4.042,3.64,73.9717,3.75,0.9003,3.6725,0.709773582,1
24-Feb-21,1.263743207,1.2548,6.4598,0.823316318,72.2923,105.5,4.039,3.64,73.7532,3.75,0.9073,3.6725,0.707438718,1
25-Feb-21,1.254705144,1.253,6.4509,0.81799591,72.4953,106.05,4.04,3.64,73.4747,3.75,0.90595,3.6725,0.707413696,1
26-Feb-21,1.277302337,1.2685,6.4664,0.825014438,73.0408,106.23,4.0495,3.64,74.4373,3.75,0.90605,3.6725,0.718132855,1
1-Mar-21,1.291155584,1.2661,6.4638,0.829668962,73.2948,106.48,4.0535,3.64,74.0448,3.75,0.91275,3.6725,0.717360115,1
2-Mar-21,1.289490651,1.2661,6.4731,0.831393415,73.3507,106.85,4.054,3.64,74.5755,3.75,0.91725,3.6725,0.718055506,1
3-Mar-21,1.27844541,1.2631,6.4596,0.83001328,73.0662,106.85,4.0495,3.64,73.5187,3.75,0.91785,3.6725,0.716768806,1
4-Mar-21,1.283202874,1.2637,6.4686,0.830978893,72.7126,107.04,4.0555,3.64,73.7864,3.75,0.9243,3.6725,0.717282932,1
5-Mar-21,1.297185108,1.2637,6.4761,0.83766125,72.7572,107.88,4.0675,3.64,74.4275,3.75,0.92815,3.6725,0.72382469,1
8-Mar-21,1.297185108,1.266,6.5236,0.842743974,73.0023,108.35,4.09,3.64,74.4275,3.75,0.93385,3.6725,0.72285673,1
9-Mar-21,1.304971943,1.2635,6.5201,0.840760047,73.1181,109.11,4.126,3.64,74.264,3.75,0.9312,3.6725,0.720876586,1
10-Mar-21,1.301405518,1.2637,6.5077,0.840901446,72.9737,108.81,4.1285,3.64,74.0393,3.75,0.93155,3.6725,0.721032519,1
11-Mar-21,1.290822254,1.2561,6.4961,0.835491687,72.9737,108.51,4.1125,3.64,73.4996,3.75,0.9251,3.6725,0.716512019,1
12-Mar-21,1.284521516,1.2493,6.4993,0.838012235,72.6845,108.75,4.117,3.64,73.5081,3.75,0.93105,3.6725,0.720123861,1
15-Mar-21,1.290489095,1.248,6.5051,0.838926174,72.7097,109.05,4.117,3.64,73.2317,3.75,0.9292,3.6725,0.718958947,1
16-Mar-21,1.289823294,1.2455,6.5022,0.838504109,72.4811,109.19,4.114,3.64,72.9619,3.75,0.92525,3.6725,0.721292556,1
17-Mar-21,1.292490629,1.2465,6.5026,0.83984211,72.5716,109.13,4.1185,3.64,73.1019,3.75,0.92815,3.6725,0.719579765,1
18-Mar-21,1.277628721,1.2458,6.5025,0.83948959,72.5248,108.96,4.1075,3.64,73.6582,3.75,0.92765,3.6725,0.716563362,1
19-Mar-21,1.289823294,1.2506,6.502,0.840972164,72.5155,109.09,4.1165,3.64,74.139,3.75,0.92815,3.6725,0.718881421,1
22-Mar-21,1.294330831,1.2513,6.5091,0.838504109,72.3772,108.9,4.1095,3.64,74.6085,3.75,0.92465,3.6725,0.720824623,1
23-Mar-21,1.298701299,1.2562,6.5114,0.841538332,72.2928,108.85,4.116,3.64,75.3585,3.75,0.92955,3.6725,0.725847427,1
24-Mar-21,1.315616366,1.2562,6.525,0.845665962,72.6558,108.63,4.1275,3.64,76.1535,3.75,0.9351,3.6725,0.729235032,1
25-Mar-21,1.315789474,1.2606,6.5358,0.847314015,72.6102,108.88,4.1395,3.64,76.1741,3.75,0.93555,3.6725,0.729953648,1
26-Mar-21,1.313542624,1.258,6.5441,0.848752334,72.4046,109.3,4.1465,3.64,75.7576,3.75,0.94105,3.6725,0.725926464,1
29-Mar-21,1.310444241,1.2594,6.5564,0.848608282,72.4046,109.65,4.1455,3.64,75.8287,3.75,0.9398,3.6725,0.723091941,1
30-Mar-21,1.306847883,1.2631,6.572,0.851716208,73.0407,109.98,4.1465,3.64,75.7023,3.75,0.942,3.6725,0.727166958,1
31-Mar-21,1.315443304,1.2575,6.5603,0.852878465,73.5047,110.7,4.159,3.64,75.6373,3.75,0.94305,3.6725,0.726532985,1
1-Apr-21,1.325732467,1.2565,6.5714,0.851353652,73.5047,110.79,4.1465,3.64,75.8073,3.75,0.94605,3.6725,0.725952813,1
2-Apr-21,1.325732467,1.2565,6.5614,0.851353652,73.5047,110.63,4.1375,3.64,76.0734,3.75,0.94605,3.6725,0.72345813,1
5-Apr-21,1.325732467,1.2525,6.5614,0.851353652,73.433,110.58,4.141,3.64,76.6052,3.75,0.94605,3.6725,0.72345813,1
6-Apr-21,1.307531381,1.2559,6.5472,0.846596681,73.3141,110.28,4.1325,3.64,76.3802,3.75,0.93865,3.6725,0.72301352,1
7-Apr-21,1.305483029,1.2617,6.5418,0.841467519,74.1172,109.77,4.128,3.64,77.773,3.75,0.9291,3.6725,0.723798494,1
8-Apr-21,1.309243257,1.2579,6.5485,0.842247115,74.37,109.83,4.1385,3.64,77.1011,3.75,0.92865,3.6725,0.727722592,1
9-Apr-21,1.313370108,1.2579,6.5581,0.841184388,74.8899,109.28,4.1355,3.64,77.1657,3.75,0.9259,3.6725,0.729075532,1
12-Apr-21,1.314924392,1.2553,6.5539,0.840053763,74.8525,109.73,4.137,3.64,77.5104,3.75,0.92345,3.6725,0.726612171,1
13-Apr-21,1.315097317,1.2554,6.5494,0.840618695,74.8525,109.56,4.134,3.64,77.2535,3.75,0.92535,3.6725,0.728146503,1
14-Apr-21,1.303441084,1.2533,6.538,0.835840856,74.8525,108.82,4.1295,3.64,75.6826,3.75,0.92215,3.6725,0.726849833,1
15-Apr-21,1.296008294,1.253,6.533,0.835421888,75.1699,108.88,4.128,3.64,76.9808,3.75,0.9237,3.6725,0.726532985,1
16-Apr-21,1.291155584,1.2503,6.5203,0.834306691,74.5607,108.85,4.127,3.64,75.5535,3.75,0.91885,3.6725,0.725215752,1
19-Apr-21,1.292323598,1.2519,6.507,0.830909846,74.8847,108.63,4.1295,3.64,76.2491,3.75,0.91325,3.6725,0.71841661,1
20-Apr-21,1.281558375,1.2572,6.4948,0.829806655,74.7296,108.19,4.116,3.64,76.0155,3.75,0.91535,3.6725,0.715768377,1
21-Apr-21,1.29617628,1.2523,6.4959,0.832847506,74.7296,108.07,4.116,3.64,76.8198,3.75,0.918,3.6725,0.71764326,1
22-Apr-21,1.291155584,1.25,6.4866,0.830151087,74.9404,108.03,4.11,3.64,76.4217,3.75,0.9151,3.6725,0.71942446,1
23-Apr-21,1.293159188,1.2489,6.4945,0.82877507,74.9144,107.9,4.1115,3.64,75.0893,3.75,0.915,3.6725,0.71999424,1
26-Apr-21,1.293159188,1.2412,6.4872,0.827472073,74.7672,107.88,4.1035,3.64,74.768,3.75,0.9145,3.6725,0.719372707,1
27-Apr-21,1.282215669,1.2403,6.4838,0.827266711,74.5993,108.25,4.0985,3.64,74.9578,3.75,0.91345,3.6725,0.718855582,1
28-Apr-21,1.291155584,1.2357,6.4861,0.828500414,74.4042,108.92,4.1025,3.64,74.939,3.75,0.91475,3.6725,0.721162514,1
29-Apr-21,1.282709082,1.2292,6.4676,0.824470278,74.0573,108.92,4.1025,3.64,74.3823,3.75,0.90945,3.6725,0.717231486,1
30-Apr-21,1.28600823,1.2285,6.4754,0.827677537,74.0232,108.95,4.1045,3.64,74.8451,3.75,0.90945,3.6725,0.71880391,1
3-May-21,1.296344309,1.2279,6.4754,0.830288941,74.1812,108.95,4.102,3.64,74.8451,3.75,0.91205,3.6725,0.71880391,1
4-May-21,1.291489087,1.2315,6.4754,0.831877548,73.8546,108.95,4.1125,3.64,75.2567,3.75,0.9147,3.6725,0.720538963,1
5-May-21,1.294498382,1.2272,6.4754,0.832986256,73.9666,108.95,4.117,3.64,74.8617,3.75,0.91375,3.6725,0.718726417,1
6-May-21,1.291822762,1.22,6.4759,0.829187396,73.9406,109.3,4.1245,3.64,74.577,3.75,0.9088,3.6725,0.720538963,1
7-May-21,1.28584287,1.2156,6.4618,0.829256157,73.7443,109.13,4.1165,3.64,74.1373,3.75,0.90905,3.6725,0.71880391,1
10-May-21,1.272912424,1.2156,6.4279,0.82176021,73.4135,108.86,4.1055,3.64,74.1373,3.75,0.89995,3.6725,0.709320471,1
11-May-21,1.275672917,1.2096,6.4267,0.821692687,73.4518,108.9,4.1158,3.64,74.1567,3.75,0.90215,3.6725,0.707914484,1
12-May-21,1.282873637,1.2096,6.4414,0.825218683,73.4389,108.85,4.131,3.64,74.04,3.75,0.90435,3.6725,0.707063565,1
13-May-21,1.297185108,1.2096,6.4536,0.827746048,73.4389,109.61,4.131,3.64,74.3566,3.75,0.90435,3.6725,0.71311417,1
14-May-21,1.292657704,1.2109,6.4315,0.82487833,73.3721,109.6,4.131,3.64,73.9968,3.75,0.9047,3.6725,0.71063104,1
17-May-21,1.290156109,1.2081,6.4397,0.823519723,73.2423,109.43,4.134,3.64,73.8537,3.75,0.9003,3.6725,0.709421112,1
18-May-21,1.284191601,1.2051,6.4274,0.818196694,73.0353,109.2,4.1263,3.64,73.6992,3.75,0.89825,3.6725,0.704671975,1
19-May-21,1.283532281,1.21,6.4313,0.818866689,72.967,108.99,4.127,3.64,73.6778,3.75,0.9014,3.6725,0.706065099,1
20-May-21,1.290489095,1.207,6.435,0.819470622,73.1168,109.23,4.139,3.64,73.6007,3.75,0.9011,3.6725,0.707664001,1
21-May-21,1.289324394,1.207,6.4352,0.82047916,73.0233,108.86,4.143,3.64,73.5803,3.75,0.89675,3.6725,0.703408012,1
24-May-21,1.292156609,1.207,6.4306,0.818866689,72.8961,108.97,4.1405,3.64,73.5266,3.75,0.89675,3.6725,0.707864373,1
25-May-21,1.289823294,1.2057,6.4062,0.815394651,72.8045,108.83,4.1425,3.64,73.3963,3.75,0.89515,3.6725,0.706264567,1
26-May-21,1.284191601,1.211,6.3937,0.817728351,72.8045,108.8,4.1425,3.64,73.4737,3.75,0.89465,3.6725,0.705591815,1
27-May-21,1.290655653,1.211,6.3764,0.819806526,72.6404,109.2,4.1435,3.64,73.458,3.75,0.89805,3.6725,0.707964602,1
1-Jun-21,1.291322314,1.204,6.3723,0.81799591,72.7714,109.4,4.1205,3.64,73.2411,3.75,0.8992,3.6725,0.705168888,1
2-Jun-21,1.291655903,1.2052,6.3886,0.820613819,73.2088,109.62,4.126,3.64,73.4979,3.75,0.90185,3.6725,0.708014727,1
3-Jun-21,1.293159188,1.2103,6.3961,0.820546484,73.1197,109.61,4.1225,3.64,73.2636,3.75,0.89975,3.6725,0.705193752,1
4-Jun-21,1.30667712,1.2084,6.4069,0.825286787,73.0266,110.25,4.1275,3.64,73.2721,3.75,0.9046,3.6725,0.708315625,1
7-Jun-21,1.292991983,1.2073,6.3946,0.822233185,72.8087,109.55,4.1275,3.64,72.9294,3.75,0.89955,3.6725,0.706738754,1
